Episode: 93	Total Reward: -130.0	Explore P: 0.5137	Training Loss: 24.3870	Buffer size: 6821.0000
Episode: 94	Total Reward: 14.0	Explore P: 0.5101	Training Loss: 9.2045	Buffer size: 6893.0000
Episode: 95	Total Reward: 41.0	Explore P: 0.5076	Training Loss: 17.5794	Buffer size: 6943.0000
Episode: 96	Total Reward: -130.0	Explore P: 0.5027	Training Loss: 7.8005	Buffer size: 7043.0000
Episode: 97	Total Reward: -125.0	Explore P: 0.4978	Training Loss: 57.2994	Buffer size: 7143.0000
Episode: 98	Total Reward: 95.0	Explore P: 0.4975	Training Loss: 18.1389	Buffer size: 7149.0000
Episode: 99	Total Reward: -125.0	Explore P: 0.4926	Training Loss: 12.8472	Buffer size: 7249.0000
Episode: 100	Total Reward: 48.0	Explore P: 0.4905	Training Loss: 32.1356	Buffer size: 7292.0000
Episode: 101	Total Reward: -120.0	Explore P: 0.4858	Training Loss: 35.0645	Buffer size: 7392.0000
Episode: 102	Total Reward: 91.0	Explore P: 0.4853	Training Loss: 32.0631	Buffer size: 7402.0000
Episode: 103	Total Reward: 69.0	Explore P: 0.4840	Training Loss: 9.2311	Buffer size: 7429.0000
Episode: 104	Total Reward: 92.0	Explore P: 0.4836	Training Loss: 14.6812	Buffer size: 7438.0000
Episode: 105	Total Reward: 76.0	Explore P: 0.4824	Training Loss: 24.6420	Buffer size: 7463.0000
Episode: 106	Total Reward: 30.0	Explore P: 0.4798	Training Loss: 16.7219	Buffer size: 7519.0000
Episode: 107	Total Reward: 13.0	Explore P: 0.4763	Training Loss: 6.0680	Buffer size: 7592.0000
Episode: 108	Total Reward: -20.0	Explore P: 0.4719	Training Loss: 7.8868	Buffer size: 7688.0000
Episode: 109	Total Reward: 94.0	Explore P: 0.4716	Training Loss: 28.8878	Buffer size: 7695.0000
Episode: 110	Total Reward: 21.0	Explore P: 0.4686	Training Loss: 35.9979	Buffer size: 7760.0000
Episode: 111	Total Reward: 43.0	Explore P: 0.4664	Training Loss: 10.0991	Buffer size: 7808.0000
Episode: 112	Total Reward: 95.0	Explore P: 0.4661	Training Loss: 16.3105	Buffer size: 7814.0000
Episode: 113	Total Reward: -120.0	Explore P: 0.4616	Training Loss: 26.0313	Buffer size: 7914.0000
Episode: 114	Total Reward: 95.0	Explore P: 0.4613	Training Loss: 12.1628	Buffer size: 7920.0000
Episode: 115	Total Reward: 74.0	Explore P: 0.4603	Training Loss: 15.5971	Buffer size: 7942.0000
Episode: 116	Total Reward: 95.0	Explore P: 0.4600	Training Loss: 8.5894	Buffer size: 7948.0000
Episode: 117	Total Reward: 34.0	Explore P: 0.4575	Training Loss: 11.2795	Buffer size: 8005.0000
Episode: 118	Total Reward: 27.0	Explore P: 0.4548	Training Loss: 13.1532	Buffer size: 8064.0000
Episode: 119	Total Reward: -15.0	Explore P: 0.4508	Training Loss: 25.4342	Buffer size: 8155.0000
Episode: 120	Total Reward: -5.0	Explore P: 0.4470	Training Loss: 15.7510	Buffer size: 8241.0000
Episode: 121	Total Reward: 16.0	Explore P: 0.4440	Training Loss: 18.0702	Buffer size: 8311.0000
Episode: 122	Total Reward: -130.0	Explore P: 0.4397	Training Loss: 31.8024	Buffer size: 8411.0000
Episode: 123	Total Reward: 67.0	Explore P: 0.4384	Training Loss: 12.4245	Buffer size: 8440.0000
Episode: 124	Total Reward: -2.0	Explore P: 0.4347	Training Loss: 6.3775	Buffer size: 8528.0000
Episode: 125	Total Reward: 40.0	Explore P: 0.4325	Training Loss: 27.8341	Buffer size: 8579.0000
Episode: 126	Total Reward: -13.0	Explore P: 0.4286	Training Loss: 21.8038	Buffer size: 8673.0000
Episode: 127	Total Reward: 39.0	Explore P: 0.4264	Training Loss: 9.1017	Buffer size: 8725.0000
Episode: 128	Total Reward: 92.0	Explore P: 0.4260	Training Loss: 10.6788	Buffer size: 8734.0000
Episode: 129	Total Reward: 71.0	Explore P: 0.4250	Training Loss: 30.2258	Buffer size: 8759.0000
Episode: 130	Total Reward: 91.0	Explore P: 0.4246	Training Loss: 12.2300	Buffer size: 8769.0000
Episode: 131	Total Reward: 32.0	Explore P: 0.4221	Training Loss: 18.2111	Buffer size: 8828.0000
Episode: 132	Total Reward: -130.0	Explore P: 0.4180	Training Loss: 7.2350	Buffer size: 8928.0000
Episode: 133	Total Reward: -130.0	Explore P: 0.4140	Training Loss: 19.0565	Buffer size: 9028.0000
Episode: 134	Total Reward: 92.0	Explore P: 0.4136	Training Loss: 23.4694	Buffer size: 9037.0000
Episode: 135	Total Reward: -17.0	Explore P: 0.4097	Training Loss: 30.5022	Buffer size: 9135.0000
Episode: 136	Total Reward: -125.0	Explore P: 0.4057	Training Loss: 29.0717	Buffer size: 9235.0000
Episode: 137	Total Reward: -125.0	Explore P: 0.4017	Training Loss: 11.7867	Buffer size: 9335.0000
Episode: 138	Total Reward: 41.0	Explore P: 0.3998	Training Loss: 11.0756	Buffer size: 9385.0000
Episode: 139	Total Reward: 66.0	Explore P: 0.3986	Training Loss: 15.9955	Buffer size: 9415.0000
Episode: 140	Total Reward: 4.0	Explore P: 0.3956	Training Loss: 29.3046	Buffer size: 9492.0000
Episode: 141	Total Reward: 64.0	Explore P: 0.3944	Training Loss: 13.0467	Buffer size: 9524.0000
Episode: 142	Total Reward: -125.0	Explore P: 0.3906	Training Loss: 30.7483	Buffer size: 9624.0000
