Wall time,Step,Value
1747398237.845016,243,-130.0
1747398255.819341,244,-125.0
1747398274.108225,245,-125.0
1747398291.246336,246,-130.0
1747398308.104128,247,-130.0
1747398325.397095,248,-125.0
1747398342.5443578,249,-15.0
1747398360.111691,250,-18.0
1747398378.12553,251,-125.0
1747398391.9896052,252,-1.0
1747398403.707384,253,17.0
1747398421.146723,254,-130.0
1747398426.464755,255,68.0
1747398436.176387,256,38.0
1747398447.5427709,257,26.0
1747398463.4178739,258,-11.0
1747398464.560739,259,95.0
1747398479.500768,260,5.0
1747398496.552793,261,-125.0
1747398510.1948512,262,1.0
1747398526.9601002,263,-130.0
1747398531.1812868,264,73.0
1747398548.0944068,265,-125.0
1747398558.6475399,266,28.0
1747398576.472644,267,-125.0
1747398586.206621,268,40.0
1747398603.419806,269,-135.0
1747398621.0236301,270,-125.0
1747398622.69561,271,92.0
1747398628.4107819,272,70.0
1747398638.508024,273,40.0
1747398656.75329,274,-130.0
1747398666.555972,275,43.0
1747398685.150793,276,-120.0
1747398692.4923809,277,49.0
1747398694.191862,278,92.0
1747398712.622266,279,-130.0
1747398722.9937,280,25.0
1747398740.296591,281,-125.0
1747398741.4500322,282,95.0
1747398759.794564,283,-130.0
1747398777.711926,284,-125.0
1747398784.424712,285,62.0
1747398787.0421681,286,87.0
1747398805.838458,287,-130.0
1747398806.917512,288,95.0
1747398824.411644,289,-125.0
1747398841.851806,290,-130.0
1747398848.1868448,291,56.0
1747398849.693311,292,93.0
1747398858.7988129,293,43.0
1747398864.615259,294,69.0
1747398878.342857,295,6.0
1747398894.478428,296,-7.0
1747398910.8070579,297,-130.0
1747398927.276949,298,-125.0
1747398942.142949,299,-15.0
1747398958.464223,300,-125.0
1747398975.6540449,301,-125.0
1747398992.964428,302,-130.0
1747399010.027272,303,-125.0
1747399017.424366,304,51.0
1747399028.168031,305,33.0
1747399032.934305,306,71.0
1747399050.416449,307,-130.0
1747399052.083699,308,92.0
1747399056.8073852,309,71.0
1747399067.9684532,310,19.0
1747399083.83803,311,-12.0
1747399085.0377972,312,95.0
1747399101.821768,313,-130.0
1747399117.6085389,314,-20.0
1747399119.350487,315,91.0
1747399136.2936928,316,-125.0
1747399152.538473,317,-130.0
1747399169.0198011,318,-130.0
1747399185.456237,319,-130.0
1747399191.228192,320,64.0
1747399207.574241,321,-130.0
1747399215.065759,322,49.0
1747399224.896302,323,28.0
1747399235.176414,324,25.0
1747399251.626127,325,-125.0
1747399253.100279,326,93.0
1747399255.117284,327,90.0
1747399271.869144,328,-125.0
1747399288.483598,329,-130.0
1747399304.914007,330,-130.0
1747399306.571146,331,92.0
1747399317.373864,332,31.0
1747399334.1233,333,-125.0
1747399348.067803,334,2.0
1747399355.769356,335,51.0
1747399373.2903879,336,-130.0
1747399389.901394,337,-130.0
1747399406.431222,338,-125.0
1747399414.577404,339,44.0
1747399419.050352,340,70.0
1747399433.676646,341,-5.0
1747399434.717688,342,95.0
1747399438.6462011,343,74.0
1747399450.343776,344,19.0
1747399459.5246952,345,33.0
1747399475.971333,346,-130.0
1747399492.451263,347,-130.0
1747399494.030097,348,92.0
1747399506.750592,349,7.0
1747399523.327876,350,-130.0
1747399536.8899,351,7.0
1747399548.5679328,352,20.0
1747399551.1549819,353,86.0
1747399559.964423,354,41.0
1747399575.494617,355,-9.0
1747399592.59378,356,-130.0
1747399608.012214,357,-15.0
1747399624.34999,358,-125.0
1747399641.044847,359,-24.0
1747399657.3968372,360,-125.0
1747399668.184423,361,26.0
1747399669.290368,362,95.0
1747399685.6719182,363,-130.0
1747399702.1481862,364,-125.0
1747399719.2119849,365,-27.0
1747399736.066582,366,-135.0
1747399737.6742349,367,93.0
1747399745.425866,368,49.0
1747399763.200165,369,-130.0
1747399779.8209028,370,-125.0
1747399796.422752,371,-125.0
1747399813.0096052,372,-130.0
1747399823.1586208,373,33.0
1747399840.646156,374,-125.0
1747399854.085439,375,4.0
1747399871.1676722,376,-130.0
1747399872.336542,377,95.0
1747399881.080467,378,45.0
1747399898.278372,379,-130.0
1747399903.925371,380,66.0
1747399918.226002,381,-3.0
1747399925.631596,382,50.0
1747399942.6807501,383,-125.0
1747400011.920501,384,-125.0
1747400029.840553,385,-125.0
1747400031.051747,386,95.0
1747400095.541127,387,-130.0
1747400112.932856,388,-130.0
1747400838.0026062,389,-130.0
1747400979.215575,390,-130.0
1747401082.050424,391,-125.0
1747401083.380735,392,95.0
1747402996.944885,393,-125.0
1747403015.712777,394,-125.0
1747403032.9324741,395,-125.0
1747403050.064403,396,-125.0
1747403067.3826702,397,-130.0
1747403072.047092,398,69.0
1747403084.958837,399,0.0
1747403101.206238,400,-125.0
1747403105.88724,401,69.0
1747403114.138078,402,39.0
1747403130.0173771,403,-125.0
1747403145.9872708,404,-125.0
1747403161.793998,405,-125.0
1747403163.172263,406,93.0
1747403179.185418,407,-125.0
1747403192.957589,408,-4.0
1747403208.8764539,409,-125.0
1747403217.9754932,410,30.0
1747403233.4898849,411,-130.0
1747403241.811628,412,39.0
1747403247.7020512,413,54.0
1747403263.6351402,414,-130.0
1747403280.315907,415,-130.0
1747403287.0731,416,51.0
1747403296.454727,417,28.0
1747403312.663967,418,-130.0
1747403316.8751051,419,72.0
1747403318.497961,420,92.0
1747403334.47704,421,-19.0
1747403335.543458,422,95.0
1747403351.8093572,423,-125.0
1747403367.626554,424,-125.0
1747403371.378468,425,73.0
1747403387.295543,426,-125.0
1747403404.018163,427,-125.0
1747403420.845819,428,-130.0
1747403436.9153311,429,-130.0
1747403453.625869,430,-130.0
1747403469.336978,431,-24.0
1747403485.541812,432,-125.0
1747403501.433198,433,-125.0
1747403517.521863,434,-125.0
1747403518.6229298,435,95.0
1747403534.52872,436,-125.0
1747403550.349865,437,-125.0
1747403566.209045,438,-125.0
1747403582.568713,439,-125.0
1747403583.6850402,440,95.0
1747403600.3955882,441,-130.0
1747403601.494366,442,95.0
1747403618.362727,443,-125.0
1747403635.0283399,444,-130.0
1747403648.490741,445,-4.0
